00:58:44 INF [TCP] connected lAddr=127.0.0.1:33740 rAddr=ocsp2.globalsign.com:80 mode=rule rule=DomainSuffix(globalsign.com) proxy=节点选择[新加坡10]
00:59:13 INF [TCP] connected lAddr=127.0.0.1:38034 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38044 rAddr=edgedl.me.gvt1.com:80 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38056 rAddr=update.googleapis.com:80 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38060 rAddr=wj.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38066 rAddr=aegis.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38070 rAddr=edgedl.me.gvt1.com:80 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:59:14 INF [TCP] connected lAddr=127.0.0.1:38084 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:15 INF [TCP] connected lAddr=127.0.0.1:38094 rAddr=ocsp.pki.goog:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
00:59:19 INF [TCP] connected lAddr=127.0.0.1:38110 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:59:25 INF [TCP] connected lAddr=127.0.0.1:48200 rAddr=aegis.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:26 INF [TCP] connected lAddr=127.0.0.1:48210 rAddr=wj.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:59:26 INF [TCP] connected lAddr=127.0.0.1:48214 rAddr=wj.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
00:59:26 INF [TCP] connected lAddr=127.0.0.1:48226 rAddr=thirdqq.qlogo.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:59:26 INF [TCP] connected lAddr=127.0.0.1:48238 rAddr=ocsp2.globalsign.com:80 mode=rule rule=DomainSuffix(globalsign.com) proxy=节点选择[新加坡10]
